# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932972.310 [PERF] loops=32 hz=31.5 loop_ms avg=19.66 max=76.23 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=43.2% viz=off
1786932973.344 [PERF] loops=34 hz=32.9 loop_ms avg=21.96 max=77.77 splines=34 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=40.6% viz=off
1786932974.354 [PERF] loops=33 hz=32.7 loop_ms avg=17.24 max=82.62 splines=33 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=46.6% viz=off
1786932975.404 [PERF] loops=31 hz=29.5 loop_ms avg=23.66 max=92.65 splines=31 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=38.1% viz=off
1786932976.409 [PERF] loops=32 hz=31.8 loop_ms avg=19.64 max=73.88 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=4.0 cpu=36.8% viz=off
1786932977.433 [PERF] loops=33 hz=32.2 loop_ms avg=21.91 max=70.83 splines=33 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=38.1% viz=off
1786932978.483 [PERF] loops=32 hz=30.5 loop_ms avg=22.50 max=87.01 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=38.2% viz=off
1786932979.541 [PERF] loops=37 hz=35.0 loop_ms avg=19.59 max=67.86 splines=37 blended=0 samples=115.0 danger=0 mrk_hz=4.7 cpu=42.5% viz=off
1786932980.548 [PERF] loops=36 hz=35.7 loop_ms avg=18.16 max=71.87 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=44.6% viz=off
1786932981.586 [PERF] loops=36 hz=34.7 loop_ms avg=18.30 max=67.08 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=42.4% viz=off
1786932982.596 [PERF] loops=36 hz=35.6 loop_ms avg=17.64 max=74.15 splines=36 blended=0 samples=115.0 danger=0 mrk_hz=4.0 cpu=44.5% viz=off
1786932983.622 [PERF] loops=32 hz=31.2 loop_ms avg=22.99 max=85.94 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=36.1% viz=off
1786932984.631 [PERF] loops=33 hz=32.7 loop_ms avg=19.65 max=71.90 splines=33 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=41.6% viz=off
